Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.330000,30.940000,0.000000,top
C2,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.750000,27.960000,270.000000,top
C3,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,46.585000,15.710000,180.000000,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,38.050000,15.710000,180.000000,top
C5,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.470000,21.360000,90.000000,top
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.240000,21.360000,90.000000,top
C7,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,38.050000,13.738000,180.000000,top
C8,10pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.890000,31.170000,180.000000,top
C9,10pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,27.700000,27.640000,90.000000,top
C10,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26.700000,21.015000,90.000000,top
C11,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.082000,20.088000,180.000000,top
C12,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,64.574000,8.912000,0.000000,top
C13,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,60.510000,20.088000,0.000000,top
C14,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.082000,33.804000,180.000000,top
C15,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.082000,31.772000,180.000000,top
C16,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.082000,24.152000,180.000000,top
C17,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.082000,22.120000,180.000000,top
C18,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,46.057400,13.598300,0.000000,top
C19,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.891080,17.194640,180.000000,top
C20,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.516890,27.640000,270.000000,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,16.015000,34.560000,0.000000,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,34.795000,34.560000,0.000000,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.280000,34.560000,0.000000,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.280000,24.220000,90.000000,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26.875000,24.220000,0.000000,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.290000,24.220000,0.000000,top
