"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1,C2,C3,C4,C10,C11,C12,C15,C16","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"10nF","C5","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1710"
"1uF","C6,C14","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"4.7uF","C7,C18","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1779"
"10pF","C8,C9","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1785"
"22uF","C13,C17","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"LED","D1,D2,D3,D4,D5,D6","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"Ferrite_Bead","FB1","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1015"
"390","R1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17655"
"62k","R2,R7,R8,R6,R9,R10,R11,R12","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17783"
"47","R3,R4,R5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17714"
"SW_Push","SW1,SW2","TS342A2PWZ","C557591"
"AMS1117-3.3","U1","SOT-223-3_TabPin2","C6186"
"STM32F446RETx","U2","LQFP-64_10x10mm_P0.5mm","C69336"
"TPS2553DBVR","U3","SOT-23-6_Handsoldering","C55266"
"USBLC6-2SC6","U4","SOT-666","C15999"
"16MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C13738"
